,Parameter,Is acceptable?,Description,Suggestion
0,ah_min,Yes,Value = [15. 15.],should be between 0 and inf
1,ah_slope_cooling,Yes,Value = [2.7 2.7],should be between 0 and inf
2,ah_slope_heating,Yes,Value = [2.7 2.7],should be between 0 and inf
3,ahprof_24hr,Yes,"Value = [0.57 0.65 0.45 0.49 0.43 0.46 0.4  0.47 0.4  0.47 0.45 0.53 0.71 0.7
 1.2  1.13 1.44 1.37 1.29 1.37 1.28 1.3  1.31 1.37 1.3  1.33 1.32 1.3
 1.35 1.27 1.44 1.36 1.51 1.44 1.41 1.3  1.14 1.1  0.99 0.98 0.86 0.84
 0.85 0.9  0.8  0.87 0.7  0.74]",should be between 0 and inf
4,alb,Yes,Value = [0.12 0.15 0.12 0.18 0.21 0.21 0.1 ],should be between 0 and 1
5,albmax_dectr,Yes,Value = [0.18],should be between 0 and 1
6,albmax_evetr,Yes,Value = [0.12],should be between 0 and 1
7,albmax_grass,Yes,Value = [0.21],should be between 0 and 1
8,albmin_dectr,Yes,Value = [0.12],should be between 0 and 1
9,albmin_evetr,Yes,Value = [0.11],should be between 0 and 1
10,albmin_grass,Yes,Value = [0.18],should be between 0 and 1
11,alpha_bioco2,NA,Value = [0.044 0.044 0.044],
12,alpha_enh_bioco2,NA,Value = [-999. -999. -999.],
13,alt,Yes,Value = [10.7],should be between 0 and inf
14,baset,Yes,Value = [5. 5. 5.],should be between -inf and inf
15,basete,Yes,Value = [11. 11. 11.],should be between -inf and inf
16,basethdd,Yes,Value = [18.2],should be between -inf and inf
17,beta_bioco2,NA,Value = [43.35 43.35 43.35],
18,beta_enh_bioco2,NA,Value = [-999. -999. -999.],
19,bldgh,Yes,Value = [22.],should be between 0 and inf
20,capmax_dec,Yes,Value = [0.8],should be between 0 and 10
21,capmin_dec,NA,Value = [0.3],
22,chanohm,NA,Value = [2. 6. 4. 4. 4. 5. 4.],
23,cpanohm,NA,Value = [1500000. 6000000. 1000000. 1000000. 1000000. 4000000. 4100000.],
24,crwmax,Yes,Value = [0.1],should be between 0 and inf
25,crwmin,Yes,Value = [0.03],should be between 0 and inf
26,daywat,Yes,Value = [0. 0. 0. 0. 0. 0. 0.],"should be one of [0, 1]"
27,daywatper,Yes,Value = [0. 0. 0. 0. 0. 0. 0.],should be between 0 and 1
28,dectreeh,Yes,Value = [13.1],should be between 0 and inf
29,drainrt,NA,Value = [0.25],
30,ef_umolco2perj,NA,Value = [1.159],
31,emis,Yes,Value = [0.95 0.91 0.98 0.98 0.93 0.93 0.95],should be between 0 and 1
32,enddls,Yes,Value = [302.],should be between 1 and 366
33,enef_v_jkm,NA,Value = [3970000.],
34,evetreeh,Yes,Value = [13.1],should be between 0 and inf
35,faibldg,NA,Value = [-999.],
36,faidectree,NA,Value = [-999.],
37,faievetree,NA,Value = [-999.],
38,faut,Yes,Value = [0.],should be between 0 and 1
39,fcef_v_kgkm,NA,Value = [0.2069],
40,flowchange,NA,Value = [0.],
41,frfossilfuel_heat,Yes,Value = [0.7],should be between 0 and 1
42,frfossilfuel_nonheat,Yes,Value = [0.7],should be between 0 and 1
43,g1,Yes,Value = [3.5],should be between 0 and 10
44,g2,NA,Value = [200.],
45,g3,NA,Value = [0.13],
46,g4,NA,Value = [0.7],
47,g5,NA,Value = [30.],
48,g6,NA,Value = [0.05],
49,gddfull,NA,Value = [300. 300. 300.],
50,gsmodel,Yes,Value = [2.],"should be one of [1, 2]"
51,humactivity_24hr,Yes,"Value = [1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.5 1.  2.  1.5
 2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.
 2.  2.  2.  2.  2.  2.  2.  2.  1.5 1.5 1.  1. ]",should be between 0 and inf
52,ie_a,NA,Value = [0. 0. 0.],
53,ie_end,Yes,Value = [366.],should be between 1 and 366
54,ie_m,NA,Value = [0. 0. 0.],
55,ie_start,Yes,Value = [1.],should be between 1 and 366
56,internalwateruse_h,NA,Value = [0.],
57,irrfracconif,NA,Value = [0.],
58,irrfracdecid,NA,Value = [0.],
59,irrfracgrass,NA,Value = [0.],
60,kkanohm,NA,Value = [0.1 1.3 1.2 1.2 1.2 1.5 1.2],
61,kmax,Yes,Value = [1200.],should be between 0 and inf
62,laimax,Yes,Value = [5.1 5.5 5.9],should be between 0 and inf
63,laimin,Yes,Value = [4.  1.  1.6],should be between 0 and inf
64,laipower,NA,"Value = [0.03   0.03   0.03   0.0005 0.0005 0.0005 0.03   0.03   0.03   0.0005
 0.0005 0.0005]",
65,laitype,NA,Value = [0. 0. 0.],
66,lat,Yes,Value = [51.51],should be between -90 and 90
67,lng,Yes,Value = [0.12],should be between -180 and 180
68,maxconductance,Yes,Value = [ 7.4 11.7 33.1],should be between 0 and inf
69,maxqfmetab,Yes,Value = [175.],should be between 0 and inf
70,min_res_bioco2,NA,Value = [0.6 0.6 0.6],
71,minqfmetab,Yes,Value = [75.],should be between 0 and inf
72,narp_emis_snow,NA,Value = [0.99],
73,narp_trans_site,NA,Value = [1.],
74,ohm_coef,NA,"Value = [  0.719   0.194 -36.6     0.719   0.194 -36.6     0.719   0.194 -36.6
   0.719   0.194 -36.6     0.238   0.427 -16.7     0.238   0.427 -16.7
   0.238   0.427 -16.7     0.238   0.427 -16.7     0.336   0.313 -31.4
   0.336   0.313 -31.4     0.336   0.313 -31.4     0.336   0.313 -31.4
   0.336   0.313 -31.4     0.336   0.313 -31.4     0.336   0.313 -31.4
   0.336   0.313 -31.4     0.336   0.313 -31.4     0.336   0.313 -31.4
   0.336   0.313 -31.4     0.336   0.313 -31.4     0.355   0.335 -35.275
   0.355   0.335 -35.275   0.355   0.335 -35.275   0.355   0.335 -35.275
   0.5     0.21  -39.1     0.5     0.21  -39.1     0.5     0.21  -39.1
   0.5     0.21  -39.1     0.25    0.6   -30.      0.25    0.6   -30.
   0.25    0.6   -30.      0.25    0.6   -30.   ]",
